interaction_name,pathway_name,ligand,receptor,agonist,antagonist,co_A_receptor,co_I_receptor,annotation,version
TGFB1_TGFBR1_TGFBR2,TGFb,Tgfb1,Tgfbr1;Tgfbr2,Fst;Thbs1,Lefty1;Lefty2;Inhba;Inhbb;Inhbc;Inhbe;Fmod;Dcn;Ltbp1;Emilin1,,Bambi,Secreted Signaling,CellChatDB v1
TGFB2_TGFBR1_TGFBR2,TGFb,Tgfb2,Tgfbr1;Tgfbr2,Fst;Thbs1,Lefty1;Lefty2;Inhba;Inhbb;Inhbc;Inhbe;Fmod;Dcn;Ltbp1;Emilin1,,Bambi,Secreted Signaling,CellChatDB v1
TGFB3_TGFBR1_TGFBR2,TGFb,Tgfb3,Tgfbr1;Tgfbr2,Fst;Thbs1,Lefty1;Lefty2;Inhba;Inhbb;Inhbc;Inhbe;Fmod;Dcn;Ltbp1;Emilin1,,Bambi,Secreted Signaling,CellChatDB v1
TGFB1_ACVR1B_TGFBR2,TGFb,Tgfb1,Acvr1b;Tgfbr2,Fst;Thbs1,Lefty1;Lefty2;Inhba;Inhbb;Inhbc;Inhbe;Fmod;Dcn;Ltbp1;Emilin1,,Bambi,Secreted Signaling,CellChatDB v1
TGFB1_ACVR1C_TGFBR2,TGFb,Tgfb1,Acvr1c;Tgfbr2,Fst;Thbs1,Lefty1;Lefty2;Inhba;Inhbb;Inhbc;Inhbe;Fmod;Dcn;Ltbp1;Emilin1,,Bambi,Secreted Signaling,CellChatDB v1
TGFB2_ACVR1B_TGFBR2,TGFb,Tgfb2,Acvr1b;Tgfbr2,Fst;Thbs1,Lefty1;Lefty2;Inhba;Inhbb;Inhbc;Inhbe;Fmod;Dcn;Ltbp1;Emilin1,,Bambi,Secreted Signaling,CellChatDB v1
TGFB2_ACVR1C_TGFBR2,TGFb,Tgfb2,Acvr1c;Tgfbr2,Fst;Thbs1,Lefty1;Lefty2;Inhba;Inhbb;Inhbc;Inhbe;Fmod;Dcn;Ltbp1;Emilin1,,Bambi,Secreted Signaling,CellChatDB v1
TGFB3_ACVR1B_TGFBR2,TGFb,Tgfb3,Acvr1b;Tgfbr2,Fst;Thbs1,Lefty1;Lefty2;Inhba;Inhbb;Inhbc;Inhbe;Fmod;Dcn;Ltbp1;Emilin1,,Bambi,Secreted Signaling,CellChatDB v1
TGFB3_ACVR1C_TGFBR2,TGFb,Tgfb3,Acvr1c;Tgfbr2,Fst;Thbs1,Lefty1;Lefty2;Inhba;Inhbb;Inhbc;Inhbe;Fmod;Dcn;Ltbp1;Emilin1,,Bambi,Secreted Signaling,CellChatDB v1
TGFB1_ACVR1_TGFBR1,TGFb,Tgfb1,Acvr1;Tgfbr1;Tgfbr2,,,,,Secreted Signaling,CellChatDB v1
TGFB2_ACVR1_TGFBR1,TGFb,Tgfb2,Acvr1;Tgfbr1;Tgfbr2,,,,,Secreted Signaling,CellChatDB v1
TGFB3_ACVR1_TGFBR1,TGFb,Tgfb3,Acvr1;Tgfbr1;Tgfbr2,,,,,Secreted Signaling,CellChatDB v1
BMP2_BMPR1A_ACVR2A,BMP,Bmp2,Bmpr1a;Acvr2a,,Nbl1;Grem1;Grem2;Chrd;Nog;Bmp3;Lefty1;Lefty2,,Bambi,Secreted Signaling,CellChatDB v1
BMP2_BMPR1A_ACVR2B,BMP,Bmp2,Bmpr1a;Acvr2b,,Nbl1;Grem1;Grem2;Chrd;Nog;Bmp3;Lefty1;Lefty2,,Bambi,Secreted Signaling,CellChatDB v1
BMP2_BMPR1A_BMPR2,BMP,Bmp2,Bmpr1a;Bmpr2,,Nbl1;Grem1;Grem2;Chrd;Nog;Bmp3;Lefty1;Lefty2,,Bambi,Secreted Signaling,CellChatDB v1
BMP2_BMPR1B_ACVR2A,BMP,Bmp2,Bmpr1b;Acvr2a,,Nbl1;Grem1;Grem2;Chrd;Nog;Bmp3;Lefty1;Lefty2,,Bambi,Secreted Signaling,CellChatDB v1
BMP2_BMPR1B_ACVR2B,BMP,Bmp2,Bmpr1b;Acvr2b,,Nbl1;Grem1;Grem2;Chrd;Nog;Bmp3;Lefty1;Lefty2,,Bambi,Secreted Signaling,CellChatDB v1
BMP2_BMPR1B_BMPR2,BMP,Bmp2,Bmpr1b;Bmpr2,,Nbl1;Grem1;Grem2;Chrd;Nog;Bmp3;Lefty1;Lefty2,,Bambi,Secreted Signaling,CellChatDB v1
BMP4_BMPR1A_ACVR2A,BMP,Bmp4,Bmpr1a;Acvr2a,,Nbl1;Grem1;Grem2;Chrd;Nog;Bmp3;Lefty1;Lefty2,,Bambi,Secreted Signaling,CellChatDB v1
BMP4_BMPR1A_ACVR2B,BMP,Bmp4,Bmpr1a;Acvr2b,,Nbl1;Grem1;Grem2;Chrd;Nog;Bmp3;Lefty1;Lefty2,,Bambi,Secreted Signaling,CellChatDB v1
BMP4_BMPR1A_BMPR2,BMP,Bmp4,Bmpr1a;Bmpr2,,Nbl1;Grem1;Grem2;Chrd;Nog;Bmp3;Lefty1;Lefty2,,Bambi,Secreted Signaling,CellChatDB v1
BMP4_BMPR1B_ACVR2A,BMP,Bmp4,Bmpr1b;Acvr2a,,Nbl1;Grem1;Grem2;Chrd;Nog;Bmp3;Lefty1;Lefty2,,Bambi,Secreted Signaling,CellChatDB v1
BMP4_BMPR1B_ACVR2B,BMP,Bmp4,Bmpr1b;Acvr2b,,Nbl1;Grem1;Grem2;Chrd;Nog;Bmp3;Lefty1;Lefty2,,Bambi,Secreted Signaling,CellChatDB v1
BMP4_BMPR1B_BMPR2,BMP,Bmp4,Bmpr1b;Bmpr2,,Nbl1;Grem1;Grem2;Chrd;Nog;Bmp3;Lefty1;Lefty2,,Bambi,Secreted Signaling,CellChatDB v1
GDF5_BMPR1A_ACVR2A,BMP,Gdf5,Bmpr1a;Acvr2a,,Nbl1;Grem1;Grem2;Chrd;Nog;Bmp3;Lefty1;Lefty2,,Bambi,Secreted Signaling,CellChatDB v1
GDF5_BMPR1A_ACVR2B,BMP,Gdf5,Bmpr1a;Acvr2b,,Nbl1;Grem1;Grem2;Chrd;Nog;Bmp3;Lefty1;Lefty2,,Bambi,Secreted Signaling,CellChatDB v1
GDF5_BMPR1A_BMPR2,BMP,Gdf5,Bmpr1a;Bmpr2,,Nbl1;Grem1;Grem2;Chrd;Nog;Bmp3;Lefty1;Lefty2,,Bambi,Secreted Signaling,CellChatDB v1
GDF5_BMPR1B_ACVR2A,BMP,Gdf5,Bmpr1b;Acvr2a,,Nbl1;Grem1;Grem2;Chrd;Nog;Bmp3;Lefty1;Lefty2,,Bambi,Secreted Signaling,CellChatDB v1
GDF5_BMPR1B_ACVR2B,BMP,Gdf5,Bmpr1b;Acvr2b,,Nbl1;Grem1;Grem2;Chrd;Nog;Bmp3;Lefty1;Lefty2,,Bambi,Secreted Signaling,CellChatDB v1
GDF5_BMPR1B_BMPR2,BMP,Gdf5,Bmpr1b;Bmpr2,,Nbl1;Grem1;Grem2;Chrd;Nog;Bmp3;Lefty1;Lefty2,,Bambi,Secreted Signaling,CellChatDB v1
GDF6_BMPR1A_ACVR2A,BMP,Gdf6,Bmpr1a;Acvr2a,,Nbl1;Grem1;Grem2;Chrd;Nog;Bmp3;Lefty1;Lefty2,,Bambi,Secreted Signaling,CellChatDB v1
GDF6_BMPR1A_ACVR2B,BMP,Gdf6,Bmpr1a;Acvr2b,,Nbl1;Grem1;Grem2;Chrd;Nog;Bmp3;Lefty1;Lefty2,,Bambi,Secreted Signaling,CellChatDB v1
GDF6_BMPR1A_BMPR2,BMP,Gdf6,Bmpr1a;Bmpr2,,Nbl1;Grem1;Grem2;Chrd;Nog;Bmp3;Lefty1;Lefty2,,Bambi,Secreted Signaling,CellChatDB v1
GDF6_BMPR1B_ACVR2A,BMP,Gdf6,Bmpr1b;Acvr2a,,Nbl1;Grem1;Grem2;Chrd;Nog;Bmp3;Lefty1;Lefty2,,Bambi,Secreted Signaling,CellChatDB v1
GDF6_BMPR1B_ACVR2B,BMP,Gdf6,Bmpr1b;Acvr2b,,Nbl1;Grem1;Grem2;Chrd;Nog;Bmp3;Lefty1;Lefty2,,Bambi,Secreted Signaling,CellChatDB v1
GDF6_BMPR1B_BMPR2,BMP,Gdf6,Bmpr1b;Bmpr2,,Nbl1;Grem1;Grem2;Chrd;Nog;Bmp3;Lefty1;Lefty2,,Bambi,Secreted Signaling,CellChatDB v1
GDF7_BMPR1A_ACVR2A,BMP,Gdf7,Bmpr1a;Acvr2a,,Nbl1;Grem1;Grem2;Chrd;Nog;Bmp3;Lefty1;Lefty2,,Bambi,Secreted Signaling,CellChatDB v1
GDF7_BMPR1A_ACVR2B,BMP,Gdf7,Bmpr1a;Acvr2b,,Nbl1;Grem1;Grem2;Chrd;Nog;Bmp3;Lefty1;Lefty2,,Bambi,Secreted Signaling,CellChatDB v1
GDF7_BMPR1A_BMPR2,BMP,Gdf7,Bmpr1a;Bmpr2,,Nbl1;Grem1;Grem2;Chrd;Nog;Bmp3;Lefty1;Lefty2,,Bambi,Secreted Signaling,CellChatDB v1
GDF7_BMPR1B_ACVR2A,BMP,Gdf7,Bmpr1b;Acvr2a,,Nbl1;Grem1;Grem2;Chrd;Nog;Bmp3;Lefty1;Lefty2,,Bambi,Secreted Signaling,CellChatDB v1
GDF7_BMPR1B_ACVR2B,BMP,Gdf7,Bmpr1b;Acvr2b,,Nbl1;Grem1;Grem2;Chrd;Nog;Bmp3;Lefty1;Lefty2,,Bambi,Secreted Signaling,CellChatDB v1
GDF7_BMPR1B_BMPR2,BMP,Gdf7,Bmpr1b;Bmpr2,,Nbl1;Grem1;Grem2;Chrd;Nog;Bmp3;Lefty1;Lefty2,,Bambi,Secreted Signaling,CellChatDB v1
BMP15_BMPR1B_BMPR2,BMP,Bmp15,Bmpr1b;Bmpr2,,Nbl1;Grem1;Grem2;Chrd;Nog;Bmp3;Lefty1;Lefty2,,Bambi,Secreted Signaling,CellChatDB v1
BMP5_ACVR1_ACVR2A,BMP,Bmp5,Acvr1;Acvr2a,,Nbl1;Grem1;Grem2;Chrd;Nog;Bmp3;Lefty1;Lefty2,,Bambi,Secreted Signaling,CellChatDB v1
BMP5_ACVR1_ACVR2B,BMP,Bmp5,Acvr1;Acvr2b,,Nbl1;Grem1;Grem2;Chrd;Nog;Bmp3;Lefty1;Lefty2,,Bambi,Secreted Signaling,CellChatDB v1
BMP5_ACVR1_BMPR2,BMP,Bmp5,Acvr1;Bmpr2,,Nbl1;Grem1;Grem2;Chrd;Nog;Bmp3;Lefty1;Lefty2,,Bambi,Secreted Signaling,CellChatDB v1
BMP5_BMPR1A_ACVR2A,BMP,Bmp5,Bmpr1a;Acvr2a,,Nbl1;Grem1;Grem2;Chrd;Nog;Bmp3;Lefty1;Lefty2,,Bambi,Secreted Signaling,CellChatDB v1
BMP5_BMPR1A_ACVR2B,BMP,Bmp5,Bmpr1a;Acvr2b,,Nbl1;Grem1;Grem2;Chrd;Nog;Bmp3;Lefty1;Lefty2,,Bambi,Secreted Signaling,CellChatDB v1
BMP5_BMPR1A_BMPR2,BMP,Bmp5,Bmpr1a;Bmpr2,,Nbl1;Grem1;Grem2;Chrd;Nog;Bmp3;Lefty1;Lefty2,,Bambi,Secreted Signaling,CellChatDB v1
BMP5_BMPR1B_ACVR2A,BMP,Bmp5,Bmpr1b;Acvr2a,,Nbl1;Grem1;Grem2;Chrd;Nog;Bmp3;Lefty1;Lefty2,,Bambi,Secreted Signaling,CellChatDB v1
BMP5_BMPR1B_ACVR2B,BMP,Bmp5,Bmpr1b;Acvr2b,,Nbl1;Grem1;Grem2;Chrd;Nog;Bmp3;Lefty1;Lefty2,,Bambi,Secreted Signaling,CellChatDB v1
BMP5_BMPR1B_BMPR2,BMP,Bmp5,Bmpr1b;Bmpr2,,Nbl1;Grem1;Grem2;Chrd;Nog;Bmp3;Lefty1;Lefty2,,Bambi,Secreted Signaling,CellChatDB v1
BMP6_ACVR1_ACVR2A,BMP,Bmp6,Acvr1;Acvr2a,,Nbl1;Grem1;Grem2;Chrd;Nog;Bmp3;Lefty1;Lefty2,,Bambi,Secreted Signaling,CellChatDB v1
BMP6_ACVR1_ACVR2B,BMP,Bmp6,Acvr1;Acvr2b,,Nbl1;Grem1;Grem2;Chrd;Nog;Bmp3;Lefty1;Lefty2,,Bambi,Secreted Signaling,CellChatDB v1
BMP6_ACVR1_BMPR2,BMP,Bmp6,Acvr1;Bmpr2,,Nbl1;Grem1;Grem2;Chrd;Nog;Bmp3;Lefty1;Lefty2,,Bambi,Secreted Signaling,CellChatDB v1
BMP6_BMPR1A_ACVR2A,BMP,Bmp6,Bmpr1a;Acvr2a,,Nbl1;Grem1;Grem2;Chrd;Nog;Bmp3;Lefty1;Lefty2,,Bambi,Secreted Signaling,CellChatDB v1
BMP6_BMPR1A_ACVR2B,BMP,Bmp6,Bmpr1a;Acvr2b,,Nbl1;Grem1;Grem2;Chrd;Nog;Bmp3;Lefty1;Lefty2,,Bambi,Secreted Signaling,CellChatDB v1
BMP6_BMPR1A_BMPR2,BMP,Bmp6,Bmpr1a;Bmpr2,,Nbl1;Grem1;Grem2;Chrd;Nog;Bmp3;Lefty1;Lefty2,,Bambi,Secreted Signaling,CellChatDB v1
BMP6_BMPR1B_ACVR2A,BMP,Bmp6,Bmpr1b;Acvr2a,,Nbl1;Grem1;Grem2;Chrd;Nog;Bmp3;Lefty1;Lefty2,,Bambi,Secreted Signaling,CellChatDB v1
BMP6_BMPR1B_ACVR2B,BMP,Bmp6,Bmpr1b;Acvr2b,,Nbl1;Grem1;Grem2;Chrd;Nog;Bmp3;Lefty1;Lefty2,,Bambi,Secreted Signaling,CellChatDB v1
BMP6_BMPR1B_BMPR2,BMP,Bmp6,Bmpr1b;Bmpr2,,Nbl1;Grem1;Grem2;Chrd;Nog;Bmp3;Lefty1;Lefty2,,Bambi,Secreted Signaling,CellChatDB v1
BMP7_ACVR1_ACVR2A,BMP,Bmp7,Acvr1;Acvr2a,,Nbl1;Grem1;Grem2;Chrd;Nog;Bmp3;Lefty1;Lefty2,,Bambi,Secreted Signaling,CellChatDB v1
BMP7_ACVR1_ACVR2B,BMP,Bmp7,Acvr1;Acvr2b,,Nbl1;Grem1;Grem2;Chrd;Nog;Bmp3;Lefty1;Lefty2,,Bambi,Secreted Signaling,CellChatDB v1
BMP7_ACVR1_BMPR2,BMP,Bmp7,Acvr1;Bmpr2,,Nbl1;Grem1;Grem2;Chrd;Nog;Bmp3;Lefty1;Lefty2,,Bambi,Secreted Signaling,CellChatDB v1
BMP7_BMPR1A_ACVR2A,BMP,Bmp7,Bmpr1a;Acvr2a,,Nbl1;Grem1;Grem2;Chrd;Nog;Bmp3;Lefty1;Lefty2,,Bambi,Secreted Signaling,CellChatDB v1
BMP7_BMPR1A_ACVR2B,BMP,Bmp7,Bmpr1a;Acvr2b,,Nbl1;Grem1;Grem2;Chrd;Nog;Bmp3;Lefty1;Lefty2,,Bambi,Secreted Signaling,CellChatDB v1
BMP7_BMPR1A_BMPR2,BMP,Bmp7,Bmpr1a;Bmpr2,,Nbl1;Grem1;Grem2;Chrd;Nog;Bmp3;Lefty1;Lefty2,,Bambi,Secreted Signaling,CellChatDB v1
BMP7_BMPR1B_ACVR2A,BMP,Bmp7,Bmpr1b;Acvr2a,,Nbl1;Grem1;Grem2;Chrd;Nog;Bmp3;Lefty1;Lefty2,,Bambi,Secreted Signaling,CellChatDB v1
BMP7_BMPR1B_ACVR2B,BMP,Bmp7,Bmpr1b;Acvr2b,,Nbl1;Grem1;Grem2;Chrd;Nog;Bmp3;Lefty1;Lefty2,,Bambi,Secreted Signaling,CellChatDB v1
BMP7_BMPR1B_BMPR2,BMP,Bmp7,Bmpr1b;Bmpr2,,Nbl1;Grem1;Grem2;Chrd;Nog;Bmp3;Lefty1;Lefty2,,Bambi,Secreted Signaling,CellChatDB v1
BMP8A_ACVR1_ACVR2A,BMP,Bmp8a,Acvr1;Acvr2a,,Nbl1;Grem1;Grem2;Chrd;Nog;Bmp3;Lefty1;Lefty2,,Bambi,Secreted Signaling,CellChatDB v1
BMP8A_ACVR1_ACVR2B,BMP,Bmp8a,Acvr1;Acvr2b,,Nbl1;Grem1;Grem2;Chrd;Nog;Bmp3;Lefty1;Lefty2,,Bambi,Secreted Signaling,CellChatDB v1
BMP8A_ACVR1_BMPR2,BMP,Bmp8a,Acvr1;Bmpr2,,Nbl1;Grem1;Grem2;Chrd;Nog;Bmp3;Lefty1;Lefty2,,Bambi,Secreted Signaling,CellChatDB v1
BMP8A_BMPR1A_ACVR2A,BMP,Bmp8a,Bmpr1a;Acvr2a,,Nbl1;Grem1;Grem2;Chrd;Nog;Bmp3;Lefty1;Lefty2,,Bambi,Secreted Signaling,CellChatDB v1
BMP8A_BMPR1A_ACVR2B,BMP,Bmp8a,Bmpr1a;Acvr2b,,Nbl1;Grem1;Grem2;Chrd;Nog;Bmp3;Lefty1;Lefty2,,Bambi,Secreted Signaling,CellChatDB v1
BMP8A_BMPR1A_BMPR2,BMP,Bmp8a,Bmpr1a;Bmpr2,,Nbl1;Grem1;Grem2;Chrd;Nog;Bmp3;Lefty1;Lefty2,,Bambi,Secreted Signaling,CellChatDB v1
BMP8A_BMPR1B_ACVR2A,BMP,Bmp8a,Bmpr1b;Acvr2a,,Nbl1;Grem1;Grem2;Chrd;Nog;Bmp3;Lefty1;Lefty2,,Bambi,Secreted Signaling,CellChatDB v1
BMP8A_BMPR1B_ACVR2B,BMP,Bmp8a,Bmpr1b;Acvr2b,,Nbl1;Grem1;Grem2;Chrd;Nog;Bmp3;Lefty1;Lefty2,,Bambi,Secreted Signaling,CellChatDB v1
BMP8A_BMPR1B_BMPR2,BMP,Bmp8a,Bmpr1b;Bmpr2,,Nbl1;Grem1;Grem2;Chrd;Nog;Bmp3;Lefty1;Lefty2,,Bambi,Secreted Signaling,CellChatDB v1
BMP8B_ACVR1_ACVR2A,BMP,Bmp8b,Acvr1;Acvr2a,,Nbl1;Grem1;Grem2;Chrd;Nog;Bmp3;Lefty1;Lefty2,,Bambi,Secreted Signaling,CellChatDB v1
BMP8B_ACVR1_ACVR2B,BMP,Bmp8b,Acvr1;Acvr2b,,Nbl1;Grem1;Grem2;Chrd;Nog;Bmp3;Lefty1;Lefty2,,Bambi,Secreted Signaling,CellChatDB v1
BMP8B_ACVR1_BMPR2,BMP,Bmp8b,Acvr1;Bmpr2,,Nbl1;Grem1;Grem2;Chrd;Nog;Bmp3;Lefty1;Lefty2,,Bambi,Secreted Signaling,CellChatDB v1
BMP8B_BMPR1A_ACVR2A,BMP,Bmp8b,Bmpr1a;Acvr2a,,Nbl1;Grem1;Grem2;Chrd;Nog;Bmp3;Lefty1;Lefty2,,Bambi,Secreted Signaling,CellChatDB v1
BMP8B_BMPR1A_ACVR2B,BMP,Bmp8b,Bmpr1a;Acvr2b,,Nbl1;Grem1;Grem2;Chrd;Nog;Bmp3;Lefty1;Lefty2,,Bambi,Secreted Signaling,CellChatDB v1
BMP8B_BMPR1A_BMPR2,BMP,Bmp8b,Bmpr1a;Bmpr2,,Nbl1;Grem1;Grem2;Chrd;Nog;Bmp3;Lefty1;Lefty2,,Bambi,Secreted Signaling,CellChatDB v1
BMP8B_BMPR1B_ACVR2A,BMP,Bmp8b,Bmpr1b;Acvr2a,,Nbl1;Grem1;Grem2;Chrd;Nog;Bmp3;Lefty1;Lefty2,,Bambi,Secreted Signaling,CellChatDB v1
BMP8B_BMPR1B_ACVR2B,BMP,Bmp8b,Bmpr1b;Acvr2b,,Nbl1;Grem1;Grem2;Chrd;Nog;Bmp3;Lefty1;Lefty2,,Bambi,Secreted Signaling,CellChatDB v1
BMP8B_BMPR1B_BMPR2,BMP,Bmp8b,Bmpr1b;Bmpr2,,Nbl1;Grem1;Grem2;Chrd;Nog;Bmp3;Lefty1;Lefty2,,Bambi,Secreted Signaling,CellChatDB v1
BMP10_ACVRL1_BMPR2,BMP10,Bmp10,Acvrl1;Bmpr2,,,Eng,,Secreted Signaling,CellChatDB v1
BMP10_ACVRL1_ACVR2A,BMP10,Bmp10,Acvrl1;Acvr2a,,,Eng,,Secreted Signaling,CellChatDB v1
GDF2_ACVRL1_BMPR2,BMP10,Gdf2,Acvrl1;Bmpr2,,,Eng,,Secreted Signaling,CellChatDB v1
GDF2_ACVRL1_ACVR2A,BMP10,Gdf2,Acvrl1;Acvr2a,,,Eng,,Secreted Signaling,CellChatDB v1
GDF9_ACVR1B_BMPR2,GDF,Gdf9,Acvr1b;Bmpr2,,,,,Secreted Signaling,CellChatDB v1
GDF10_ACVR1B_ACVR2A,GDF,Gdf10,Acvr1b;Acvr2a,,,,,Secreted Signaling,CellChatDB v1
GDF11_TGFBR1_ACVR2A,GDF,Gdf11,Tgfbr1;Acvr2a,,,,,Secreted Signaling,CellChatDB v1
GDF11_TGFBR1_ACVR2B,GDF,Gdf11,Tgfbr1;Acvr2b,,,,,Secreted Signaling,CellChatDB v1
GDF11_ACVR1B_ACVR2B,GDF,Gdf11,Acvr1b;Acvr2b,,,,,Secreted Signaling,CellChatDB v1
GDF15_TGFBR2,GDF,Gdf15,Tgfbr2,,,,,Secreted Signaling,CellChatDB v1
MSTN_TGFBR1_ACVR2B,MSTN,Mstn,Tgfbr1;Acvr2b,,,,,Secreted Signaling,CellChatDB v1
MSTN_ACVR1B_ACVR2B,MSTN,Mstn,Acvr1b;Acvr2b,,,,,Secreted Signaling,CellChatDB v1
MSTN_ACVR1B_ACVR2A,MSTN,Mstn,Acvr1b;Acvr2a,,,,,Secreted Signaling,CellChatDB v1
MSTN_TGFBR1_ACVR2A,MSTN,Mstn,Tgfbr1;Acvr2a,,,,,Secreted Signaling,CellChatDB v1
AMH_AMHR2_ACVR1,AMH,Amh,Amhr2;Acvr1,,,,,Secreted Signaling,CellChatDB v1
AMH_AMHR2_BMPR1A,AMH,Amh,Amhr2;Bmpr1a,,,,,Secreted Signaling,CellChatDB v1
GDNF_GFRA1,GDNF,Gdnf,Gfra1;Ret,,,,,Secreted Signaling,CellChatDB v1
NRTN_GFRA2,GDNF,Nrtn,Gfra2;Ret,,,,,Secreted Signaling,CellChatDB v1
ARTN_GFRA3,GDNF,Artn,Gfra3;Ret,,,,,Secreted Signaling,CellChatDB v1
PSPN_GFRA4,GDNF,Pspn,Gfra4;Ret,,,,,Secreted Signaling,CellChatDB v1
ARTN_GFRA1,GDNF,Artn,Gfra1;Ret,,,,,Secreted Signaling,CellChatDB v1
NODAL_ACVR1B_ACVR2A,NODAL,Nodal,Acvr1b;Acvr2a;Cfc1,Fst,Lefty1;Lefty2;Inhba;Inhbb;Inhbc;Inhbe,,,Secreted Signaling,CellChatDB v1
NODAL_ACVR1C_ACVR2A,NODAL,Nodal,Acvr1c;Acvr2a;Cfc1,Fst,Lefty1;Lefty2;Inhba;Inhbb;Inhbc;Inhbe,,,Secreted Signaling,CellChatDB v1
NODAL_ACVR1B_ACVR2B,NODAL,Nodal,Acvr1b;Acvr2b;Cfc1,Fst,Lefty1;Lefty2;Inhba;Inhbb;Inhbc;Inhbe,,,Secreted Signaling,CellChatDB v1
NODAL_ACVR1C_ACVR2B,NODAL,Nodal,Acvr1c;Acvr2b;Cfc1,Fst,Lefty1;Lefty2;Inhba;Inhbb;Inhbc;Inhbe,,,Secreted Signaling,CellChatDB v1
GDF1_ACVR1B_ACVR2A,NODAL,Gdf1,Acvr1b;Acvr2a;Cfc1,Fst,Lefty1;Lefty2;Inhba;Inhbb;Inhbc;Inhbe,,,Secreted Signaling,CellChatDB v1
GDF1_ACVR1B_ACVR2B,NODAL,Gdf1,Acvr1b;Acvr2b;Cfc1,Fst,Lefty1;Lefty2;Inhba;Inhbb;Inhbc;Inhbe,,,Secreted Signaling,CellChatDB v1
GDF1_ACVR1C_ACVR2A,NODAL,Gdf1,Acvr1c;Acvr2a;Cfc1,Fst,Lefty1;Lefty2;Inhba;Inhbb;Inhbc;Inhbe,,,Secreted Signaling,CellChatDB v1
GDF1_ACVR1C_ACVR2B,NODAL,Gdf1,Acvr1c;Acvr2b;Cfc1,Fst,Lefty1;Lefty2;Inhba;Inhbb;Inhbc;Inhbe,,,Secreted Signaling,CellChatDB v1
GDF3_ACVR1B_ACVR2A,NODAL,Gdf3,Acvr1b;Acvr2a;Cfc1,Fst,Lefty1;Lefty2;Inhba;Inhbb;Inhbc;Inhbe,,,Secreted Signaling,CellChatDB v1
GDF3_ACVR1B_ACVR2B,NODAL,Gdf3,Acvr1b;Acvr2b;Cfc1,Fst,Lefty1;Lefty2;Inhba;Inhbb;Inhbc;Inhbe,,,Secreted Signaling,CellChatDB v1
GDF3_ACVR1C_ACVR2A,NODAL,Gdf3,Acvr1c;Acvr2a;Cfc1,Fst,Lefty1;Lefty2;Inhba;Inhbb;Inhbc;Inhbe,,,Secreted Signaling,CellChatDB v1
GDF3_ACVR1C_ACVR2B,NODAL,Gdf3,Acvr1c;Acvr2b;Cfc1,Fst,Lefty1;Lefty2;Inhba;Inhbb;Inhbc;Inhbe,,,Secreted Signaling,CellChatDB v1
INHBA_ACVR1B_ACVR2A,ACTIVIN,Inhba,Acvr1b;Acvr2a,,Fst,,Bambi,Secreted Signaling,CellChatDB v1
INHBA_ACVR1B_ACVR2B,ACTIVIN,Inhba,Acvr1b;Acvr2b,,Fst,,Bambi,Secreted Signaling,CellChatDB v1
INHBB_ACVR1B_ACVR2A,ACTIVIN,Inhbb,Acvr1b;Acvr2a,,Fst,,Bambi,Secreted Signaling,CellChatDB v1
INHBB_ACVR1B_ACVR2B,ACTIVIN,Inhbb,Acvr1b;Acvr2b,,Fst,,Bambi,Secreted Signaling,CellChatDB v1
INHBB_ACVR1C_ACVR2A,ACTIVIN,Inhbb,Acvr1c;Acvr2a,,Fst,,Bambi,Secreted Signaling,CellChatDB v1
INHBB_ACVR1C_ACVR2B,ACTIVIN,Inhbb,Acvr1c;Acvr2b,,Fst,,Bambi,Secreted Signaling,CellChatDB v1
INHBC_ACVR1B_ACVR2A,ACTIVIN,Inhbc,Acvr1b;Acvr2a,,Fst,,Bambi,Secreted Signaling,CellChatDB v1
INHBC_ACVR1B_ACVR2B,ACTIVIN,Inhbc,Acvr1b;Acvr2b,,Fst,,Bambi,Secreted Signaling,CellChatDB v1
INHBC_ACVR1C_ACVR2A,ACTIVIN,Inhbc,Acvr1c;Acvr2a,,Fst,,Bambi,Secreted Signaling,CellChatDB v1
INHBC_ACVR1C_ACVR2B,ACTIVIN,Inhbc,Acvr1c;Acvr2b,,Fst,,Bambi,Secreted Signaling,CellChatDB v1
INHBE_ACVR1B_ACVR2A,ACTIVIN,Inhbe,Acvr1b;Acvr2a,,Fst,,Bambi,Secreted Signaling,CellChatDB v1
INHBE_ACVR1B_ACVR2B,ACTIVIN,Inhbe,Acvr1b;Acvr2b,,Fst,,Bambi,Secreted Signaling,CellChatDB v1
INHBE_ACVR1C_ACVR2A,ACTIVIN,Inhbe,Acvr1c;Acvr2a,,Fst,,Bambi,Secreted Signaling,CellChatDB v1
INHBE_ACVR1C_ACVR2B,ACTIVIN,Inhbe,Acvr1c;Acvr2b,,Fst,,Bambi,Secreted Signaling,CellChatDB v1
INHBABB_ACVR1B_ACVR2A,ACTIVIN,Inhba;Inhbb,Acvr1b;Acvr2a,,Fst,,Bambi,Secreted Signaling,CellChatDB v1
INHBABB_ACVR1B_ACVR2B,ACTIVIN,Inhba;Inhbb,Acvr1b;Acvr2b,,Fst,,Bambi,Secreted Signaling,CellChatDB v1
INHBABB_ACVR1C_ACVR2A,ACTIVIN,Inhba;Inhbb,Acvr1c;Acvr2a,,Fst,,Bambi,Secreted Signaling,CellChatDB v1
INHB_ACVR1C_ACVR2B,ACTIVIN,Inhba;Inhbb,Acvr1c;Acvr2b,,Fst,,Bambi,Secreted Signaling,CellChatDB v1
